"Ind","Obs","S1","S2","Jack1ab","Jack1abP","Jack2ab","Jack2abP","Chao1","Chao1P"
1169,31,3,1,34,34.318418314256,36,36.3371488033299,32.5,32.8043704474506
4863,58,4,8,62,62.294887039239,58,58.2758620689655,58.6666666666667,58.9456995640111
1368,38,5,3,43,43.744459833795,45,45.7790858725762,40.5,41.2011772853186
2236,59,3,5,62,62.1602987647228,60,60.1551278368285,59.5,59.6538351048549
2633,60,3,2,63,63.1575,64,64.16,61,61.1525
1589,39,5,1,44,44.7232084155161,48,48.7889546351085,44,44.7232084155161
2834,68,7,5,75,75.7947664359862,77,77.8159602076125,71.5,72.2576773356401
1522,45,3,3,48,48.2133333333333,48,48.2133333333333,45.75,45.9533333333333
1613,47,5,6,52,52.5885015844273,51,51.5771842462653,48.4285714285714,48.9766539481343
2259,46,5,2,51,51.6025519848771,54,54.6379962192817,49.3333333333333,49.9161940768746
2211,41,1,5,42,42.0249851279001,38,38.0226055919096,41,41.0243902439024
1818,47,5,3,52,52.5885015844273,54,54.6111362607515,49.5,50.0602082390222
2089,69,9,8,78,79.3270321361059,79,80.34404536862,73,74.241965973535
1912,54,7,2,61,62.0250342935528,66,67.1090534979424,61,62.0250342935528
2851,55,4,6,59,59.3120661157025,57,57.3014876033058,55.8571428571429,56.152585596222
3778,44,5,1,49,49.6327479338843,53,53.6844008264463,49,49.6327479338843
3319,45,4,1,49,49.3871604938272,52,52.4108641975309,48,48.3792592592593
2453,53,6,4,59,59.7561409754361,61,61.7817728729085,56,56.7176931292275
3738,59,5,2,64,64.4596380350474,67,67.4811835679402,62.3333333333333,62.7810016278847
2063,51,3,3,54,54.1868512110727,54,54.1868512110727,51.75,51.9290657439446
2411,57,5,3,62,62.4770698676516,64,64.492459218221,59.5,59.9578331794398
2440,57,7,3,64,64.9652200677131,68,69.0255463219452,62.25,63.1888273314866
1849,48,5,5,53,53.5750868055556,53,53.5750868055556,49.6666666666667,50.2055844907407
1697,52,10,4,62,64.292899408284,68,70.5147928994083,61,63.2559171597633
2564,54,7,3,61,62.0250342935528,65,66.0922496570645,59.25,60.2456275720165
2613,60,9,3,69,70.5525,75,76.6875,69,70.5525
2571,69,7,5,76,76.782188615837,78,78.8027725267801,72.5,73.2461667716866
2453,62,5,4,67,67.4357440166493,68,68.4422476586889,64,64.4162330905307
2898,60,4,4,64,64.2844444444444,64,64.2844444444444,61.2,61.472
3201,67,9,4,76,77.3713521942526,81,82.4615727333482,74.2,75.5388728001782
