lat,long,site
50.69,-115.14,4196
50.69,-99.46,45118
50.68,-96.52,45113
50.67,-119.32,11020
50.63,-93.23,68282
50.6,-113.02,4009
50.6,-112.99,4308
50.58,-99.44,45218
50.57,-104.27,79113
50.56,-111.84,4007
50.55,-110.32,4306
50.51,-114.25,4210
50.51,-96.29,45313
50.5,-95.47,45112
50.48,-113.39,4209
50.47,-114.42,4010
50.46,-101.22,45121
50.44,-96.55,45213
50.42,-113.82,4109
50.41,-95.68,45012
50.31,-108.93,79117
50.29,-101.06,45021
50.27,-97.48,45414
50.26,-119.08,11220
50.22,-90.69,68284
50.21,-118.77,11419
50.19,-99.97,45018
50.16,-112.31,4208
50.15,-111.98,4207
50.15,-93.98,68280
50.14,-122.95,11223
50.13,-120.95,11721
50.13,-93.21,68281
50.12,-98.58,45216
50.1,-107.73,79016
50.07,-96.6,45013
50.04,-100.78,45020
50.02,-121.09,11022
50.02,-125.24,11126
50.01,-113.38,4309
50.01,-95.48,45212
50.01,-97.06,45314
50.01,-107,79116
50,-110.07,4106
50,-103.57,79112
49.97,-113.9,4404
49.97,-97.5,45103
49.96,-106.55,79106
49.95,-91.6,68256
49.87,-111.41,4002
49.87,-95.97,45001
49.87,-71.99,76079
49.86,-93.15,68131
49.81,-113.56,4004
49.78,-124.17,11213
49.77,-118.14,11007
49.77,-120.85,11409
49.75,-111.51,4302
49.72,-120.14,11709
49.72,-96.72,45002
49.72,-94.24,68054
49.71,-113.69,4304
49.7,-118.77,11407
49.7,-100.64,45109
49.66,-98.19,45305
49.66,-109.74,79109
49.64,-115.64,11204
49.64,-125.09,11614
49.64,-107.99,79007
49.63,-114.5,4205
49.59,-119.72,11208
49.56,-96.88,45102
49.55,-108.3,79108
49.54,-98.91,45105
49.53,-110.27,4201
49.53,-95.56,45101
49.51,-97.68,45003
49.51,-98.16,45205
49.5,-100.7,45209
49.49,-57.92,57121
49.48,-99.81,45307
49.48,-81.49,68064
49.42,-99.87,45207
49.4,-120.22,11609
49.39,-101.08,45211
49.38,-112.65,4203
49.38,-98.02,45005
49.34,-100.12,45009
49.3,-88.31,68046
49.29,-114.73,11003
49.29,-116.66,11005
49.29,-121.68,11010
49.28,-101.3,45111
49.26,-113.65,4204
49.26,-123.25,11212
49.26,-54.48,57018
49.25,-119.52,11608
49.23,-95.42,45201
49.18,-122.51,11411
49.17,-100.05,45309
49.16,-89.35,68271
49.15,-120.59,11009
49.15,-85.79,68061
49.14,-117.25,11006
49.13,-96.41,45302
49.1,-119.27,11408
