"Ind","Obs","S1","S2","Jack1ab","Jack1abP","Jack2ab","Jack2abP","Chao1","Chao1P"
2671,54,7,3,61,62.0250342935528,65,66.0922496570645,59.25,60.2456275720165
2457,39,9,3,48,50.5562130177515,54,56.8757396449704,48,50.5562130177515
2720,55,12,3,67,70.1894214876033,76,79.6178512396694,71.5,74.9036363636364
2834,52,6,2,58,58.7721893491124,62,62.8254437869822,57,57.758875739645
2631,54,4,3,58,58.318244170096,59,59.323731138546,55.5,55.8045267489712
2591,56,5,5,61,61.4862882653061,61,61.4862882653061,57.6666666666667,58.1263818027211
2842,53,9,4,62,63.7878248487006,67,68.9320042719829,60.2,61.935920256319
2506,52,8,5,60,61.4201183431953,63,64.491124260355,56.6666666666667,58.0078895463511
2544,50,5,6,55,55.55,54,54.54,51.4285714285714,51.9428571428571
2659,49,6,8,55,55.8246563931695,53,53.7946688879634,50.6666666666667,51.4263501318895
2348,44,9,4,53,55.2174586776859,58,60.426652892562,51.2,53.3421487603306
2288,32,6,5,38,39.3359375,39,40.37109375,34.5,35.712890625
2260,35,8,5,43,45.2465306122449,46,48.4032653061224,39.6666666666667,41.7390476190476
2876,58,7,6,65,65.9467895362664,66,66.961355529132,61,61.8885255648038
2724,61,10,3,71,72.9080892233271,78,80.0962106960495,72.25,74.1916823434561
2980,59,4,5,63,63.2895719620799,62,62.2849755817294,60,60.2757828210284
3076,61,3,1,64,64.1547970975544,66,66.159634506853,62.5,62.6511690405805
2939,60,7,2,67,67.9119444444444,72,72.98,67,67.9119444444444
2629,37,4,4,41,41.4791818845873,41,41.4791818845873,38.2,38.6464572680789
2620,40,5,7,45,45.703125,43,43.671875,41.25,41.89453125
2404,42,8,8,50,51.8140589569161,50,51.8140589569161,45.1111111111111,46.7477954144621
2232,30,1,7,31,31.0344444444444,25,25.0277777777778,30,30.0333333333333
2498,52,10,6,62,64.292899408284,66,68.4408284023669,58.4285714285714,60.5893913778529
2424,51,11,6,62,64.884275278739,67,70.1168781237985,58.8571428571429,61.5952106332729
2572,58,7,6,65,65.9467895362664,66,66.961355529132,61,61.8885255648038
2659,55,9,6,64,65.7137190082645,67,68.7940495867769,60.1428571428571,61.7532939787485
2389,54,15,6,69,74.3240740740741,78,84.0185185185185,69,74.3240740740741
2603,43,7,6,50,51.3250405624662,51,52.3515413737155,46,47.2190373174689
2676,51,9,3,60,61.8685121107266,66,68.0553633217993,60,61.8685121107266
2843,52,6,5,58,58.7721893491124,59,59.7855029585799,54.5,55.2255917159763
2982,58,8,5,66,67.2556480380499,69,70.3127229488704,62.6666666666667,63.8588981371383
2521,42,2,6,44,44.0997732426304,40,40.0907029478458,42.1428571428571,42.2384191771947
2503,51,6,6,57,57.7889273356401,57,57.7889273356401,53.1428571428571,53.8783984181908
2431,36,7,2,43,44.6257716049383,48,49.8148148148148,43,44.6257716049383
3314,58,5,5,63,63.468192627824,63,63.468192627824,59.6666666666667,60.1100871977804
2547,57,10,2,67,69.0621729763004,75,77.3084025854109,72,74.2160664819945
2320,40,8,2,48,49.92,54,56.16,49.3333333333333,51.3066666666667
2589,56,11,6,67,69.5851403061225,72,74.7780612244898,63.8571428571429,66.3210185860058
3050,64,10,7,74,75.806640625,77,78.8798828125,69.625,71.3248291015625
2376,43,11,7,54,57.533802055165,58,61.7955651703624,49.875,53.1388588426176
2756,52,6,8,58,58.7721893491124,56,56.7455621301775,53.6666666666667,54.3811637080868
2488,49,10,7,59,61.457309454394,62,64.582257392753,54.625,56.9000937109538
2444,46,8,5,54,55.6332703213611,57,58.7240075614367,50.6666666666667,52.1991178323882
2480,41,5,4,46,46.6841165972635,47,47.698988697204,43,43.639500297442
3136,51,4,4,55,55.3383314109958,55,55.3383314109958,52.2,52.521107266436
2686,60,4,11,64,64.2844444444444,57,57.2533333333333,60.5,60.7688888888889
2630,56,7,6,63,63.984375,64,65,59,59.921875
2821,56,7,6,63,63.984375,64,65,59,59.921875
2905,57,5,6,62,62.4770698676516,61,61.4693751923669,58.4285714285714,58.8781603130634
3220,62,10,2,72,73.8730489073881,80,82.0811654526535,77,79.003121748179
2639,48,6,5,54,54.84375,55,55.859375,50.5,51.2890625
2938,40,5,6,45,45.703125,44,44.6875,41.4285714285714,42.0758928571429
2665,47,12,3,59,62.8460842009959,68,72.4327750113173,63.5,67.6394296061566
2799,50,3,5,53,53.1908,51,51.1836,50.5,50.6818
2826,66,11,4,77,79.1388888888889,84,86.3333333333333,77,79.1388888888889
2571,54,14,7,68,72.5706447187929,75,80.0411522633745,65.375,69.7692043895748
3054,65,8,5,73,74.105798816568,76,77.1512426035503,69.6666666666667,70.7219723865878
2699,51,7,5,58,59.0926566705113,60,61.1303344867359,54.5,55.5267204921184
2593,52,12,5,64,67.4082840236686,71,74.7810650887574,63,66.3550295857988
2779,56,3,7,59,59.1693239795918,55,55.1578443877551,56.375,56.536790497449
2709,57,11,6,68,70.5324715297015,73,75.7186826715913,64.8571428571429,67.2725673833707
2698,43,6,2,49,49.9540292049757,53,54.0319091400757,48,48.9345592212006
2420,39,10,7,49,52.2215647600263,52,55.4188034188034,44.625,47.5589250493097
2870,54,7,8,61,62.0250342935528,60,61.0082304526749,56.3333333333333,57.2799497027892
2644,41,4,8,45,45.4283164782867,41,41.390243902439,41.6666666666667,42.0632559984136
2713,45,6,6,51,51.9066666666667,51,51.9066666666667,47.1428571428571,47.9809523809524
2890,50,7,5,57,58.1172,59,60.1564,53.5,54.5486
3546,57,8,3,65,66.2803939673746,70,71.3788858110188,64,65.2606955986457
3564,38,5,3,43,43.744459833795,45,45.7790858725762,40.5,41.2011772853186
3435,28,4,2,32,32.6530612244898,34,34.6938775510204,30,30.6122448979592
3370,28,4,4,32,32.6530612244898,32,32.6530612244898,29.2,29.7959183673469
3345,23,4,2,27,27.8166351606805,29,29.8771266540643,25,25.7561436672968
3324,26,5,1,31,32.146449704142,35,36.2943786982249,31,32.146449704142
3355,22,1,3,23,23.047520661157,21,21.0433884297521,22,22.0454545454545
3263,19,1,3,20,20.0554016620499,18,18.0498614958449,19,19.0526315789474
3418,24,2,0,26,26.1805555555556,28,28.1944444444444,25,25.1736111111111
3404,16,1,1,17,17.06640625,17,17.06640625,16,16.0625
3538,19,1,3,20,20.0554016620499,18,18.0498614958449,19,19.0526315789474
3392,31,4,1,35,35.582726326743,38,38.6326742976067,34,34.5660770031217
3472,27,5,4,32,33.0973936899863,33,34.1316872427984,29,29.9945130315501
3358,28,5,2,33,34.0522959183673,36,37.1479591836735,31.3333333333333,32.3324829931973
3189,19,2,3,21,21.2326869806094,20,20.2216066481994,19.25,19.463296398892
3226,23,7,1,30,32.7788279773157,36,39.3345935727788,33.5,36.6030245746692
3476,20,3,1,23,23.5175,25,25.5625,21.5,21.98375
3657,33,5,3,38,38.8723599632691,40,40.9182736455464,35.5,36.3149678604224
3657,25,5,3,30,31.2,32,33.28,27.5,28.6
3384,26,5,2,31,32.146449704142,34,35.2573964497041,29.3333333333333,30.4181459566075
3289,23,5,3,28,29.3232514177694,30,31.4177693761815,25.5,26.7051039697543
3658,25,4,1,29,29.7424,32,32.8192,28,28.7168
3446,25,4,4,29,29.7424,29,29.7424,26.2,26.87072
3584,29,6,2,35,36.4982164090369,39,40.6694411414982,34,35.4554102259215
3451,23,4,4,27,27.8166351606805,27,27.8166351606805,24.2,24.9319470699433
3783,25,5,4,30,31.2,31,32.24,27,28.08
3750,24,2,1,26,26.1805555555556,27,27.1875,24.5,24.6701388888889
3841,29,4,1,33,33.627824019025,36,36.6848989298454,32,32.6087990487515
3694,27,3,3,30,30.3703703703704,30,30.3703703703704,27.75,28.0925925925926
3587,23,3,2,26,26.4423440453686,27,27.4593572778828,24,24.4083175803403
3368,21,4,2,25,25.907029478458,27,27.9795918367347,23,23.8344671201814
3720,26,1,2,27,27.0399408284024,26,26.0384615384615,26,26.0384615384615
3759,31,6,1,37,38.3860561914672,42,43.573361082206,38.5,39.9422476586889
3841,22,2,1,24,24.198347107438,25,25.2066115702479,22.5,22.6859504132231
3679,25,1,0,26,26.0416,27,27.0432,25,25.04
3948,29,4,4,33,33.627824019025,33,33.627824019025,30.2,30.7745541022592
3855,28,1,1,29,29.0369897959184,29,29.0369897959184,28,28.0357142857143
3708,24,4,2,28,28.7777777777778,30,30.8333333333333,26,26.7222222222222
3519,16,2,5,18,18.28125,15,15.234375,16.1666666666667,16.4192708333333
3899,34,11,3,45,49.7102076124567,53,58.5475778546713,47.75,52.748053633218
3800,16,3,1,19,19.66796875,21,21.73828125,17.5,18.115234375
3599,18,5,0,23,24.7746913580247,28,30.1604938271605,28,30.1604938271605
3607,24,8,4,32,35.5555555555556,36,40,29.6,32.8888888888889
4126,26,2,2,28,28.1656804733728,28,28.1656804733728,26.3333333333333,26.4891518737673
3833,24,5,0,29,30.2586805555556,34,35.4756944444444,34,35.4756944444444
3735,9,0,1,9,9,8,8,9,9
3668,13,4,0,17,18.6094674556213,21,22.9881656804734,19,20.7988165680473
3635,21,4,2,25,25.907029478458,27,27.9795918367347,23,23.8344671201814
3754,18,1,1,19,19.0586419753086,19,19.0586419753086,18,18.0555555555556
3902,28,2,0,30,30.1530612244898,32,32.1632653061224,29,29.1479591836735
3748,25,4,4,29,29.7424,29,29.7424,26.2,26.87072
4101,23,3,2,26,26.4423440453686,27,27.4593572778828,24,24.4083175803403
3919,22,1,2,23,23.047520661157,22,22.0454545454545,22,22.0454545454545
3788,20,2,5,22,22.22,19,19.19,20.1666666666667,20.3683333333333
3673,35,9,4,44,46.909387755102,49,52.24,42.2,44.9903673469388
3992,24,3,0,27,27.421875,30,30.46875,27,27.421875
3713,22,4,4,26,26.8595041322314,26,26.8595041322314,23.2,23.9669421487603
3811,25,1,1,26,26.0416,26,26.0416,25,25.04
3765,24,6,3,30,31.875,33,35.0625,27.75,29.484375
3695,24,3,2,27,27.421875,28,28.4375,25,25.390625
3877,29,3,3,32,32.3424494649227,32,32.3424494649227,29.75,30.0683709869203
4818,36,9,4,45,47.8125,50,53.125,43.2,45.9
4442,27,4,2,31,31.6803840877915,33,33.7242798353909,29,29.636488340192
4449,28,5,3,33,34.0522959183673,35,36.1160714285714,30.5,31.4725765306122
4477,30,5,6,35,35.9722222222222,34,34.9444444444444,31.4285714285714,32.3015873015873
4582,25,2,1,27,27.1728,28,28.1792,25.5,25.6632
4543,22,4,1,26,26.8595041322314,29,29.9586776859504,25,25.8264462809917
4287,42,10,7,52,54.9478458049887,55,58.1179138321995,47.625,50.3248299319728
4776,39,6,5,45,46.0650887573964,46,47.0887573964497,41.5,42.4822485207101
4537,23,4,3,27,27.8166351606805,28,28.8468809073724,24.5,25.2410207939509
4430,50,12,9,62,65.5712,65,68.744,56.6,59.86016
4369,26,5,2,31,32.146449704142,34,35.2573964497041,29.3333333333333,30.4181459566075
4472,34,6,5,40,41.2456747404844,41,42.2768166089965,36.5,37.636678200692
4734,39,9,4,48,50.5562130177515,53,55.8224852071006,46.2,48.6603550295858
4557,46,4,7,50,50.3780718336484,47,47.3553875236295,46.75,47.1034971644613
4587,43,10,4,53,55.8664142779881,59,62.1909140075717,52,54.8123309897242
4413,37,4,7,41,41.4791818845873,38,38.4441197954711,37.75,38.1911979547115
4589,34,9,3,43,46.0129757785467,49,52.4333910034602,43,46.0129757785467
4557,41,11,1,52,55.743010113028,62,66.4628197501487,68.5,73.4306960142772
4533,51,10,8,61,63.3452518262207,63,65.4221453287197,56,58.1530180699731
4603,43,6,7,49,49.9540292049757,48,48.9345592212006,44.875,45.7487155219037
4341,42,8,7,50,51.8140589569161,51,52.8503401360544,45.5,47.1507936507937
4382,38,12,3,50,54.9861495844875,59,64.8836565096953,54.5,59.9349030470914
4263,29,5,5,34,35.0107015457788,34,35.0107015457788,30.6666666666667,31.5782798256044
4510,43,8,7,51,52.7652785289346,52,53.7998918334235,46.5,48.1095186587345
4474,41,11,5,52,55.743010113028,58,62.1748958953004,50.1666666666667,53.7777116795558
4479,46,10,1,56,58.6465028355388,65,68.0718336483932,68.5,71.7372400756144
4131,21,6,3,27,29.2040816326531,30,32.4489795918367,24.75,26.7704081632653
4522,57,14,3,71,75.2831640504771,82,86.9467528470299,79.75,84.5610187750077
4384,34,6,4,40,41.2456747404844,42,43.3079584775086,37,38.1522491349481
4451,31,2,4,33,33.1373569198751,31,31.1290322580645,31.2,31.3298647242456
4602,48,9,4,57,59.00390625,62,64.1796875,55.2,57.140625
4380,35,10,6,45,48.6734693877551,49,53,41.4285714285714,44.8104956268222
4439,34,6,5,40,41.2456747404844,41,42.2768166089965,36.5,37.636678200692
4296,32,9,6,41,44.2431640625,44,47.48046875,37.1428571428571,40.0809151785714
4452,57,13,7,70,73.6411203447214,76,79.953216374269,66.75,70.2220683287165
4724,23,2,3,25,25.1890359168242,24,24.1814744801512,23.25,23.4258034026465
4659,31,4,5,35,35.582726326743,34,34.5660770031217,32,32.5327783558793
4468,28,4,2,32,32.6530612244898,34,34.6938775510204,30,30.6122448979592
4692,26,2,1,28,28.1656804733728,29,29.1715976331361,26.5,26.6568047337278
4822,31,5,2,36,36.9365244536941,39,40.0145681581686,34.3333333333333,35.2265001734305
4866,31,6,3,37,38.3860561914672,40,41.4984391259105,34.75,36.0517689906348
6304,32,5,4,37,37.9033203125,38,38.927734375,34,34.830078125
4827,34,6,3,40,41.2456747404844,43,44.3391003460208,37.75,38.9256055363322
4405,44,7,10,51,52.290805785124,48,49.2148760330578,45.9090909090909,47.0710462058603
4897,37,8,0,45,47.1037253469686,53,55.4777209642074,65,68.0387143900657
4876,43,8,8,51,52.7652785289346,51,52.7652785289346,46.1111111111111,47.7071690403221
4459,33,10,6,43,46.9485766758494,47,51.315886134068,39.4285714285714,43.0491932310114
4624,34,6,3,40,41.2456747404844,43,44.3391003460208,37.75,38.9256055363322
4980,29,6,1,35,36.4982164090369,40,41.7122473246135,36.5,38.0624256837099
4815,37,7,4,44,45.5748721694668,47,48.682249817385,41.2,42.6746530314098
4624,54,15,5,69,74.3240740740741,79,85.0956790123457,71.5,77.016975308642
4480,43,14,2,57,63.0421849648459,69,76.3142239048134,73.3333333333333,81.106904633135
4610,37,6,3,43,44.1307523739956,46,47.2096420745069,40.75,41.8215850986121
4875,53,13,8,66,69.9708081167675,71,75.2716269134924,61.6666666666667,65.376765159606
4501,37,7,7,44,45.5748721694668,44,45.5748721694668,39.625,41.0432797662527
4666,43,7,1,50,51.3250405624662,56,57.4840454299621,53.5,54.9177934018388
4615,48,6,5,54,54.84375,55,55.859375,50.5,51.2890625
4532,33,8,1,41,43.4095500459137,48,50.8209366391185,47,49.7621671258035
4601,34,6,3,40,41.2456747404844,43,44.3391003460208,37.75,38.9256055363322
4707,24,2,1,26,26.1805555555556,27,27.1875,24.5,24.6701388888889
4822,30,5,2,35,35.9722222222222,38,39.0555555555556,33.3333333333333,34.2592592592593
4544,38,11,4,49,53.1059556786704,56,60.6925207756233,49,53.1059556786704
4925,32,3,2,35,35.3076171875,36,36.31640625,33,33.2900390625
5306,28,5,0,33,34.0522959183673,38,39.2117346938776,38,39.2117346938776
5269,26,2,2,28,28.1656804733728,28,28.1656804733728,26.3333333333333,26.4891518737673
4833,33,5,3,38,38.8723599632691,40,40.9182736455464,35.5,36.3149678604224
4793,29,7,3,36,38.0975029726516,40,42.3305588585018,34.25,36.2455410225921
5203,30,4,1,34,34.6044444444444,37,37.6577777777778,33,33.5866666666667
4754,24,3,2,27,27.421875,28,28.4375,25,25.390625
