,site,lat,long
124874,92007,44.42,-104.42
126392,92250,44.26,-104.17
126277,92150,44.51,-104.25
101558,81011,44.9,-97.94
101631,81013,44.5,-98.31
102369,81114,44.03,-98.43
123972,91310,44.73,-91.79
121302,91033,44.4,-91.67
66223,50007,44.22,-92.27
121496,91036,44.81,-90.35
124040,91311,44.88,-90.31
121676,91040,44.44,-89.85
121886,91044,44.42,-88.95
123370,91146,44.03,-88.7
122035,91047,44.61,-88.77
124622,91322,44.34,-88.04
124212,91314,44.1,-87.89
121965,91045,44.87,-88.17
65544,49128,44.11,-85.8
65982,49230,44.78,-85.8
64455,49027,44.28,-85.13
11952,68022,44.32,-81.23
11892,68020,44.59,-80.74
15843,68298,44.78,-81.12
13372,68117,44.28,-78.09
14298,68217,44.75,-77.94
12719,68051,44.83,-78.11
11632,68014,44.07,-77.36
11774,68016,44.35,-77.0
14175,68215,44.88,-77.54
13315,68113,44.84,-76.36
16086,68312,44.53,-76.66
11587,68012,44.26,-76.77
84414,61199,44.52,-74.49
83772,61098,44.13,-74.92
83725,61097,44.43,-75.05
112860,87023,44.76,-73.27
112524,87014,44.31,-72.62
113004,87121,44.34,-73.07
76946,58018,44.17,-71.7
112584,87015,44.33,-72.4
112357,87011,44.43,-71.95
58050,44007,44.62,-70.96
77066,58020,44.68,-71.58
77003,58019,44.6,-71.31
58213,44012,44.14,-70.56
58108,44010,44.89,-70.44
59231,44115,44.32,-69.86
58437,44021,44.58,-69.15
59348,44120,44.59,-69.54
59524,44308,44.45,-68.92
92973,69040,45.22,-123.02
94344,69233,45.0,-123.4
94395,69237,44.97,-122.95
115429,89024,45.68,-122.44
93013,69041,45.25,-122.25
93827,69202,45.29,-122.7
68203,50066,45.65,-96.13
101704,81017,45.42,-96.71
66678,50021,45.54,-96.09
66621,50019,45.16,-95.65
68146,50065,45.59,-95.21
66427,50013,44.96,-95.45
66470,50015,45.6,-93.88
66316,50009,44.97,-93.47
66531,50016,45.1,-93.47
120012,91010,45.37,-92.66
123937,91309,44.97,-92.63
119956,91009,45.02,-92.74
120285,91014,45.31,-91.47
120139,91012,45.59,-92.23
120212,91013,45.53,-91.88
120434,91016,45.71,-91.19
123265,91118,45.08,-90.53
120498,91017,45.14,-90.79
120683,91022,45.31,-89.63
120620,91020,45.32,-90.08
120564,91019,45.65,-90.18
120865,91026,45.46,-88.77
123806,91307,45.69,-89.12
120754,91023,45.76,-89.5
121061,91029,45.44,-87.87
120999,91028,45.5,-88.01
120931,91027,45.37,-88.62
14356,68218,44.99,-79.57
16462,68328,45.45,-79.59
15200,68252,45.21,-79.03
16502,68350,45.07,-77.2
12106,68026,45.5,-77.74
12657,68050,45.29,-77.47
27368,76201,45.58,-76.65
14685,68225,45.47,-76.11
13254,68083,45.47,-76.61
16350,68324,45.23,-75.92
16678,76002,45.7,-75.54
14633,68224,45.17,-75.54
11998,68023,45.17,-74.96
14576,68223,45.5,-74.47
16315,68323,45.15,-74.71
16890,76006,45.78,-74.09
16839,76005,45.72,-73.4
16957,76007,45.42,-74.17
26770,76109,45.76,-72.3
27698,76309,45.3,-72.38
27767,76310,45.43,-71.86
17117,76010,45.72,-71.47
77181,58022,44.99,-71.37
27314,76190,45.29,-70.9
59472,44304,45.41,-69.88
58660,44031,45.23,-70.19
58705,44032,45.07,-70.21
58761,44033,45.05,-69.03
58385,44019,44.98,-69.43
58919,44042,45.02,-68.91
10787,65019,45.42,-63.7
10841,65020,45.65,-63.91
10730,65018,45.71,-63.55
10668,65014,45.68,-62.11
10952,65027,44.93,-62.57
10520,65009,45.38,-61.82
116097,89043,46.4,-121.55
115319,89019,46.63,-121.39
115478,89025,45.83,-121.35
43670,33204,46.44,-116.83
115395,89023,46.34,-117.05
93955,69207,45.94,-117.45
87114,64004,46.34,-98.68
87192,64006,46.14,-99.48
101901,81023,45.85,-99.26
101748,81018,45.84,-97.33
87033,64001,46.15,-97.67
87067,64002,46.48,-97.01
68309,50068,46.39,-93.09
66711,50022,46.7,-92.63
120075,91011,45.96,-92.49
119616,91002,46.52,-91.42
119675,91003,46.06,-91.82
123482,91301,46.63,-91.95
123741,91306,45.84,-90.62
123668,91305,45.84,-91.3
123542,91302,46.32,-90.9
120806,91024,45.92,-89.15
63427,49002,46.66,-89.55
123600,91303,46.04,-89.25
63615,49007,46.08,-88.15
63808,49011,46.57,-87.84
63548,49005,46.15,-88.37
27807,76314,46.38,-75.91
26817,76113,46.55,-75.36
25918,76012,46.36,-76.02
26084,76019,46.16,-72.39
27865,76321,46.57,-71.62
26878,76120,46.37,-72.27
26153,76022,46.04,-71.07
26210,76023,46.51,-70.93
26124,76021,46.66,-71.56
58823,44035,45.86,-69.92
26972,76124,46.27,-70.53
59123,44059,46.28,-69.93
59396,44134,45.9,-69.03
58970,44050,46.1,-68.9
59073,44058,46.71,-69.19
115803,89035,47.22,-121.01
116149,89044,46.95,-120.56
115848,89036,47.55,-120.68
115239,89014,47.08,-119.25
117449,89164,46.82,-118.65
117467,89182,46.76,-119.04
74213,53064,47.03,-114.39
73548,53025,46.91,-114.46
73248,53015,47.18,-113.94
87794,64033,47.61,-103.54
87840,64035,46.73,-103.98
87749,64032,47.23,-103.32
66910,50029,46.92,-96.61
67389,50043,47.51,-96.63
68661,50077,47.44,-96.58
9170,56015,47.16,-65.17
9336,56029,46.73,-64.96
9123,56013,46.99,-64.83
116912,89074,47.74,-120.66
117320,89113,47.75,-120.35
115009,89005,48.35,-120.21
116955,89075,47.66,-119.63
116265,89049,48.25,-120.15
115612,89029,48.5,-120.17
117026,89077,47.88,-117.98
115270,89016,47.73,-117.92
115097,89008,48.29,-117.77
42700,33002,47.78,-116.66
43435,33029,48.47,-116.84
115755,89032,48.38,-117.27
72942,53002,48.1,-114.46
73197,53014,47.71,-114.2
74272,53074,47.66,-114.13
67292,50041,47.76,-95.83
67691,50050,48.3,-95.57
67341,50042,47.79,-95.11
28140,76439,47.64,-70.61
26440,76058,48.42,-70.5
26289,76039,47.64,-70.62
115522,89027,48.97,-122.14
116607,89066,48.53,-122.47
5473,11411,49.18,-122.51
3567,11010,49.29,-121.68
115573,89028,48.83,-121.9
114968,89004,48.7,-121.21
116641,89068,48.53,-120.3
3527,11009,49.15,-120.59
5753,11609,49.4,-120.22
3381,11005,49.29,-116.66
117411,89152,48.84,-117.18
3418,11006,49.14,-117.25
8880,45309,49.17,-100.05
7540,45107,49.01,-99.61
88157,64044,48.84,-100.24
8740,45302,49.13,-96.41
68814,50082,48.77,-96.31
67742,50051,48.78,-96.07
67533,50047,48.95,-94.99
68758,50081,48.78,-95.3
8114,45201,49.23,-95.42
5519,11419,50.21,-118.77
4676,11220,50.26,-119.08
5305,11407,49.7,-118.77
2725,4304,49.71,-113.69
61,4004,49.81,-113.56
2799,4309,50.01,-113.38
2209,4207,50.15,-111.98
0,4002,49.87,-111.41
2699,4302,49.75,-111.51
2087,4201,49.53,-110.27
1269,4106,50.0,-110.07
28575,79109,49.66,-109.74
28309,79016,50.1,-107.73
28278,79007,49.64,-107.99
28544,79108,49.55,-108.3
6638,45021,50.29,-101.06
8315,45209,49.5,-100.7
7585,45109,49.7,-100.64
8219,45205,49.51,-98.16
8788,45305,49.66,-98.19
8586,45216,50.12,-98.58
7452,45103,49.97,-97.5
9034,45414,50.27,-97.48
8989,45314,50.01,-97.06
6196,45002,49.72,-96.72
6448,45013,50.07,-96.6
6137,45001,49.87,-95.97
162,4010,50.47,-114.42
2431,4215,51.2,-114.76
2292,4210,50.51,-114.25
1321,4109,50.42,-113.82
2775,4308,50.6,-112.99
2267,4209,50.48,-113.39
8535,45214,50.71,-97.83
6505,45016,50.72,-98.21
7077,45043,51.07,-98.09
6962,45041,51.09,-96.96
8012,45142,51.08,-97.5
7799,45114,50.74,-97.31
8927,45313,50.51,-96.29
8481,45213,50.44,-96.55
7731,45113,50.68,-96.52
2916,4315,51.32,-114.25
263,4015,51.82,-114.44
408,4022,52.02,-114.47
3208,4412,51.27,-111.19
2859,4312,51.41,-111.47
2887,4313,51.32,-112.04
28849,79123,51.41,-105.82
28973,79132,52.05,-106.21
28879,79124,51.56,-106.63
2945,4322,52.4,-114.4
2497,4221,52.55,-113.93
1576,4121,52.61,-113.98
1711,4129,53.11,-113.12
2985,4329,53.13,-113.19
2542,4229,53.33,-113.85
21893,3432,61.29,-149.77
21462,3401,61.4,-149.84
21052,3117,61.58,-149.44
21575,3406,64.01,-145.72
21870,3431,63.85,-145.73
20663,3004,64.25,-146.07
